"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CONFIG","EPC PART NUMBER","MFG","MFGPN","NAME","PART NUMBER","QSGDESCRIPT","SCHDESCRIPT","STATUS","STATUS1","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SHEETPART","DESIGNATOR","DESCRIPTION"
"EPC2207","D0177B","","=MFGPN","*","EPC2207","EPC","EPC2207","","EPC2207","200V  22mE 22A","200V  22mE 22A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2207CT-ND","917-EPC2207TR-ND","917-EPC2207DKR-ND","","","","","Q?","200V 13A 22mE"
"EPC2212","D0155","","=MFGPN","*","EPC2212","EPC","EPC2212","","EPC2212","100V 40mE 10A","100V 40mE 10A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1211-2-ND","917-1211-1-ND","917-1211-6-ND","","","","","Q?","100V 40mE 10A"
"EPC2214","D0166","","=MFGPN","*","EPC2214","EPC","EPC2214","","EPC2214","80V 20mE 10A","80V 20mE 10A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1213-2-ND","917-1213-1-ND","917-1213-6-ND","","","","","Q?","80V 20mE 10A"
"EPC2215","D0111BT34M","","=MFGPN","*","EPC2215","EPC","EPC2215","","EPC2215","200V 42A 8mE","200V 42A 8mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1218-1-ND","917-1218-2-ND","917-1218-6-ND","","","","","Q?","200V 42A 8mE"
"EPC2216","D0210","","=MFGPN","*","EPC2216","EPC","EPC2216","","EPC2216","15V 26mE 3.4A","15V 26mE 3.4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1224-2-ND","917-1224-1-ND","917-1224-6-ND","","","","","Q?","15V 26mE 3.4A"
"EPC2218","D0320T34M","","=MFGPN","*","EPC2218","EPC","EPC2218","","EPC2218","100 V 60A 3.2mE","100 V 60A 3.2mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2218CT-ND","917-EPC2218TR-ND","917-EPC2218DKR-ND","","","","","Q?","100 V 60A 3.2mE"
"EPC2219","D0353","","=MFGPN","","EPC2219","EPC","EPC2219","","EPC2219","65 V, 3300mE, 0.5A","65 V, 3300mE, 0.5A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2219CT-ND","917-EPC2219TR-ND","917-EPC2219DKR-ND","","","","","Q?","65 V, 3300mE, 0.5A"
"EPC8002","D0221","","=MFGPN","*","EPC8002","EPC","EPC8002","","EPC8002","65V 480mE 2A","65V 480mE 2A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1118-2-ND","917-1118-1-ND","917-1118-6-ND","","","","","Q?","65V 480mE 2A"
"EPC8004","D0221","","=MFGPN","*","EPC8004","EPC","EPC8004","","EPC8004","40V 110mE 4A","40V 110mE 4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1072-2-ND","917-1072-1-ND","917-1072-6-ND","","","","","Q?","40V 110mE 4A"
"EPC8009","D0221","","=MFGPN","*","EPC8009","EPC","EPC8009","","EPC8009","65V 130mE 4A","65V 130mE 4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1078-2-ND","917-1078-1-ND","917-1078-6-ND","","","","","Q?","65V 130mE 4A"
"EPC8010","D0221","","=MFGPN","*","EPC8010","EPC","EPC8010","","EPC8010","100V 160mE 4A","100V 160mE 4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1086-2-ND","917-1086-1-ND","917-1086-6-ND","","","","","Q?","100V 160mE 4A"
